GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CalifMavenVer,modelo.dao,AlumnoDAO,202,11,12,0,37,4,8,2,2,2
CalifMavenVer,modelo.dao,UsuarioDAO,221,0,16,0,43,0,15,0,7,0
CalifMavenVer,iniciador,IniciarAplicacion,17,0,0,0,7,0,3,0,3,0
CalifMavenVer,controlador,ControladorVistaPrincipal,717,0,40,0,145,0,33,0,13,0
CalifMavenVer,controlador,ControladorInicioSesion,67,0,2,0,18,0,4,0,3,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ListSelectionListener() {...},13,0,2,0,4,0,3,0,2,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
CalifMavenVer,controlador,ControladorVistaPrincipal.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
CalifMavenVer,vista,VistaInicioSesion.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
CalifMavenVer,vista,VistaInicioSesion.new Runnable() {...},11,0,0,0,4,0,2,0,2,0
CalifMavenVer,vista,VistaPrincipal,654,0,0,0,149,0,14,0,14,0
CalifMavenVer,vista,VistaInicioSesion,270,0,0,0,55,0,5,0,5,0
CalifMavenVer,modelo,GestionAlumnos,10,164,4,22,3,29,6,16,2,7
CalifMavenVer,modelo,Calificacion,11,12,0,0,5,5,3,2,3,2
CalifMavenVer,modelo,Usuario,23,0,0,0,10,0,5,0,5,0
CalifMavenVer,modelo,Alumno,25,35,0,0,11,11,7,4,7,4
